[0509/130918.038:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0509/132155.341:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/132200.370:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/132205.391:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/132210.413:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/132215.430:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/132220.443:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/132225.466:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/132230.490:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/132235.515:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/132240.529:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/132245.555:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/132250.579:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/145959.108:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/150004.134:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/150009.154:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/150014.187:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/150019.226:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/150024.270:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/150029.309:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/150034.352:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/150039.389:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/150044.417:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/150049.486:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/150054.529:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/192202.504:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0509/192207.542:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
